Date,Price,Open,High,Low,Vol.,Change %
"Aug 08, 2025","116,674.74","117,472.02","117,630","115,878.71",10.05K,-0.68%
"Aug 07, 2025","117,472.01","114,992.27","117,621","114,259",13.47K,2.16%
"Aug 06, 2025","114,992.27","114,129.75","115,716","113,355.13",9.76K,0.76%
"Aug 05, 2025","114,129.75","115,055.03","115,127.81","112,650",12.04K,-0.80%
"Aug 04, 2025","115,055.03","114,208.81","115,720","114,107.6",9.67K,0.74%
"Aug 03, 2025","114,208.8","112,546.35","114,799.97","111,920",7.40K,1.48%
"Aug 02, 2025","112,546.35","113,297.92","114,063.49","112,003",11.51K,-0.66%
"Aug 01, 2025","113,297.93","115,764.07","116,052","112,722.58",24.49K,-2.13%
"Jul 31, 2025","115,764.08","117,840.29","118,922.45","115,500",17.01K,-1.76%
"Jul 30, 2025","117,840.3","117,950.75","118,792","115,796.23",15.59K,-0.09%
"Jul 29, 2025","117,950.76","118,062.32","119,273.36","116,950.75",15.14K,-0.09%
"Jul 28, 2025","118,062.32","119,415.56","119,800","117,427.5",13.96K,-1.13%
"Jul 27, 2025","119,415.55","117,919.99","119,766.65","117,825.5",9.33K,1.27%
"Jul 26, 2025","117,919.99","117,614.31","118,297.35","117,138.38",6.99K,0.26%
"Jul 25, 2025","117,614.31","118,340.98","118,451.57","114,723.16",38.41K,-0.61%
"Jul 24, 2025","118,340.99","118,756","119,450","117,103.1",15.81K,-0.35%
"Jul 23, 2025","118,755.99","119,954.43","120,090","117,301",14.56K,-1.00%
"Jul 22, 2025","119,954.42","117,380.36","120,247.8","116,128",20.96K,2.19%
"Jul 21, 2025","117,380.36","117,265.11","119,676.73","116,515",17.11K,0.10%
"Jul 20, 2025","117,265.12","117,840.01","118,856.8","116,467.02",12.96K,-0.49%
"Jul 19, 2025","117,840","117,924.84","118,499.9","117,277.34",6.64K,-0.07%
"Jul 18, 2025","117,924.84","119,177.56","120,820.71","116,812.76",19.92K,-1.05%
"Jul 17, 2025","119,177.56","118,630.44","120,998.71","117,453.57",15.73K,0.46%
